Position,Company_Name,Vacancy_Link,Experience_Needed,Salary,Location,Posting_Time,Openings,Applicants,Education,Employment_Type,Industry_Type,Current_Date,Current_Time,Days_Ago,Time_Taken
Product Marketing Intern,Bdfl Technologies,https://www.naukri.com/job-listings-product-marketing-intern-the-10x-academy-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-030424502362,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1 Day Ago,1,64,Any Graduate,"Full Time, Permanent",E-Learning / EdTech,2024-04-05,11:38:21,1,4.400437116622925
Integration & Operations PM,Ford,https://www.naukri.com/job-listings-integration-operations-pm-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-030424500772,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1 Day Ago,1,52,Any Graduate,"Full Time, Permanent",Auto Components,2024-04-05,11:38:26,1,1.3707432746887207
Business Development Manager,Shri Siddhivinayak Projects,https://www.naukri.com/job-listings-business-development-manager-shri-siddhivinayak-projects-new-delhi-delhi-0-to-3-years-141223007027,0-3 Yrs,2-4 Lacs PA,"New Delhi, Delhi(Vaishali)",5 Days Ago,1,108,Any Graduate,"Full Time, Permanent",FMCG,2024-04-05,11:38:31,5,2.3803093433380127
Data Entry Operator,Laxmi Consultancy,https://www.naukri.com/job-listings-data-entry-operator-laxmi-consultancy-services-sonipat-sonepat-haryana-delhi-ncr-0-to-2-years-011023001808,0-2 Yrs,1.25-3 Lacs PA,"Delhi / NCR(A1 Block Janakpuri +7), Sonipat/ Sonepat, Haryana",17 Days Ago,1,1723,Any Graduate,"Full Time, Permanent",Internet,2024-04-05,11:38:34,17,1.988095760345459
Data Entry Operator,Laxmi Consultancy,https://www.naukri.com/job-listings-data-entry-operator-laxmi-consultancy-services-sonipat-sonepat-haryana-delhi-ncr-0-to-2-years-011023001808,0-2 Yrs,1.25-3 Lacs PA,"Delhi / NCR(A1 Block Janakpuri +7), Sonipat/ Sonepat, Haryana",1 Day Ago,1,1723,Any Graduate,"Full Time, Permanent",Internet,2024-04-05,11:38:38,1,2.37111496925354
"Hiring Female Fresher For Recruiter at -Delhi ,Hudson Lane (GTB Nagar)",Steno House,https://www.naukri.com/job-listings-hiring-female-fresher-for-recruiter-at-delhi-hudson-lane-gtb-nagar-steno-house-new-delhi-gtb-nagar-1-to-5-years-120324009093,1-5 Yrs,2-4 Lacs PA,"New Delhi(Gtb Nagar +8), GTB Nagar",1 Day Ago,1,442,Any Graduate,"Full Time, Permanent",IT Services & Consulting,2024-04-05,11:38:39,1,0.9984948635101318
Assistant Manager - Payroll & compliances,Aimlay,https://www.naukri.com/job-listings-assistant-manager-payroll-compliances-aimlay-new-delhi-delhi-6-to-11-years-200324008330,6-11 Yrs,5-7 Lacs PA,"New Delhi, Delhi(Rohini)",15 Days Ago,1,309,MBA/PGDM in Any Specialization,"Full Time, Permanent",Education / Training,2024-04-05,11:38:42,15,2.0807929039001465
Assistant Manager - Payroll & compliances,IFANglobal,https://www.naukri.com/job-listings-nicu-staff-nurses-required-for-a-mother-child-hospital-rohini-delh-ifanglobal-new-delhi-delhi-2-to-6-years-060324005848,2-6 Yrs,Not disclosed,"New Delhi, Delhi(Rohini)",29 Days Ago,1,Less than 10,B.Sc in Nursing,"Full Time, Permanent",Medical Services / Hospital,2024-04-05,11:38:46,29,1.9809653759002686
"NICU Staff Nurses required For a Mother & Child Hospital- Rohini, Delh",IFANglobal,https://www.naukri.com/job-listings-nicu-staff-nurses-required-for-a-mother-child-hospital-rohini-delh-ifanglobal-new-delhi-delhi-2-to-6-years-060324005848,2-6 Yrs,Not disclosed,"New Delhi, Delhi(Rohini)",29 Days Ago,1,Less than 10,B.Sc in Nursing,"Full Time, Permanent",Medical Services / Hospital,2024-04-05,11:38:47,29,0.9985456466674805
"NICU Staff Nurses required For a Mother & Child Hospital- Rohini, Delh",Nokia,https://www.naukri.com/job-listings-senior-payroll-specialist-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-10-years-040424501253,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1 Day Ago,1,57,Any Graduate,"Full Time, Permanent",Telecom / ISP,2024-04-05,11:38:51,1,2.7560904026031494
